<article n="1">
<s lang="de" n="13-142">
Der	ART	d
Schnee	NN	Schnee
ist	VAFIN	sein
tief	ADJD	tief
und	KON	und
zentnerschwer	ADJD	zentnerschwer
.	$.	.
<s lang="de" n="13-143">
Immer	ADV	immer
enger	ADJD	eng
lege	VVFIN	legen
ich	PPER	ich
die	ART	d
Kehren	NN	Kehre
.	$.	.
<s lang="de" n="13-144">
Der	ART	d
Trupp	NN	Trupp
der	ART	d
Franzosen	NN	Franzose
rückt	VVFIN	auf+rücken
auf	PTKVZ	auf
,	$,	,
löst	VVFIN	ab+lösen
im	APPRART	im
Spuren	NN	Spur
ab	PTKVZ	ab
.	$.	.
<s lang="de" n="13-145">
Wir	PPER	wir
erreichen	VVFIN	erreichen
den	ART	d
Grat	NN	Grat
unweit	APPR	unweit
des	ART	d
Höhenpunktes	NN	Höhenpunkt
3082	CARD	@card@
m.	APPR	mit
Offene	ADJA	offen
Spalten	NN	Spalte
;	$.	;
geborstenes	ADJA	geborsten
Eis	NN	Eis
.	$.	.
<s lang="de" n="13-146">
Riesenhafte	ADJA	riesenhaft
Wächten	NN	Wächte
.	$.	.
<s lang="de" n="13-147">
Schauervoller	ADJA	schauervoll
Absturz	NN	Absturz
der	ART	d
Südwand	NN	Südwand
.	$.	.
<s lang="de" n="13-148">
Kampf	NN	Kampf
am	APPRART	am
Gipfelgrat	NN	Gipfelgrat
.	$.	.
<s lang="de" n="13-149">
Nebel	NN	Nebel
,	$,	,
Sturm	NN	Sturm
,	$,	,
Kälte	NN	Kälte
.	$.	.
<s lang="de" n="13-150">
Prasselnde	ADJA	prasselnd
Eiskörner	NN	Eiskorn
.	$.	.
<s lang="de" n="13-151">
Wir	PPER	wir
sind	VAFIN	sein
ohne	APPR	ohne
Windschutz	NN	Windschutz
und	KON	und
Nahrung	NN	Nahrung
.	$.	.
<s lang="de" n="13-152">
Morgens	NN	Morgen
beim	APPRART	beim
Aufbruch	NN	Aufbruch
war	VAFIN	sein
keine	PIAT	kein
Hoffnung	NN	Hoffnung
gewesen	VAPP	sein
,	$,	,
bis	KOUS	bis
in	APPR	in
diese	PDAT	dies
Höhe	NN	Höhe
vorzudringen	VVIZU	vordringen
.	$.	.
<s lang="de" n="13-153">
Der	ART	d
Schnee	NN	Schnee
wird	VAFIN	werden
hart	ADJD	hart
,	$,	,
Verblasen	VVPP	verblasen
.	$.	.
<s lang="de" n="13-154">
Tappen	NN	Tappen
wir	PPER	wir
auf	APPR	auf
der	ART	d
Wächte	NN	Wächte
?	$.	?
<s lang="de" n="13-155">
Der	ART	d
Sturm	NN	Sturm
nimmt	VVFIN	zu+nehmen
zu	PTKVZ	zu
.	$.	.
<s lang="de" n="13-156">
Einige	NN	Einige
Franzosen	NN	Franzose
erlahmen	VVINF	erlahmen
,	$,	,
bleiben	VVFIN	zurück+bleiben
erschöpft	ADJD	erschöpft
zurück	PTKVZ	zurück
.	$.	.
<s lang="de" n="13-157">
Wir	PPER	wir
kämpfen	VVFIN	weiter+kämpfen
weiter	PTKVZ	weiter
.	$.	.
<s lang="de" n="13-158">
Kämpfen	NN	Kampf|Kämpfen
um	APPR	um
jeden	PIAT	jed
Meter	NN	Meter
.	$.	.
<s lang="de" n="13-159">
Jeder	PIAT	jed
gewonnene	ADJA	gewonnen
Meter	NN	Meter
ist	VAFIN	sein
ein	ART	ein
Sieg	NN	Sieg
.	$.	.
<s lang="de" n="13-160">
Endlich	ADV	endlich
der	ART	d
Vorgipfel	NN	Vorgipfel
.	$.	.
<s lang="de" n="13-161">
Kurze	ADJA	kurz
Abfahrt	NN	Abfahrt
zum	APPRART	zum
breiten	ADJA	breit
Grat	NN	Grat
,	$,	,
der	PRELS	d
gegen	APPR	gegen
die	ART	d
höchste	ADJA	hoch
Spitze	NN	Spitze
hinüberleitet	VVFIN	hinüberleiten
.	$.	.
<s lang="de" n="13-162">
Pfeifen	NN	Pfeife|Pfeifen
und	KON	und
Heulen	NN	Heulen
des	ART	d
Sturms	NN	Sturm
setzt	VVFIN	aus+setzen
urplötzlich	ADJD	urplötzlich
aus	PTKVZ	aus
.	$.	.
<s lang="de" n="13-163">
Um	APPR	um
so	ADV	so
drückender	ADJD	drückender
stürzt	VVFIN	stürzen
das	ART	d
gewaltige	ADJA	gewaltig
Schweigen	NN	Schweigen
des	ART	d
Hochgebirgs	NN	unk
über	APPR	über
uns	PRF	wir
her	PTKVZ	her
.	$.	.
<s lang="de" n="13-164">
Mit	APPR	mit
erstarrten	ADJA	erstarrt
Fingern	NN	Finger
lösen	VVFIN	lösen
wir	PPER	wir
die	ART	d
Bindung	NN	Bindung
,	$,	,
rennen	VVFIN	ein+rennen
die	ART	d
Bretter	NN	Brett
ein	PTKVZ	ein
.	$.	.
<s lang="de" n="13-165">
Wir	PPER	wir
waten	VVFIN	waten
schwerfällig	ADJD	schwerfällig
zum	APPRART	zum
Gipfelhang	NN	Gipfelhang
.	$.	.
<s lang="de" n="13-166">
Wühlen	NN	Wühlen
bis	KON	bis
zum	APPRART	zum
Leib	NN	Leib
im	APPRART	im
Schnee	NN	Schnee
.	$.	.
<s lang="de" n="13-167">
Packen	NN	Packen
entschlossen	ADJD	entschlossen
die	ART	d
letzten	ADJA	letzt
Meter	NN	Meter
an	PTKVZ	an
.	$.	.
<s lang="de" n="13-168">
Eine	ART	ein
kurze	ADJA	kurz
,	$,	,
steile	ADJA	steil
Schneewand	NN	Schneewand
wölbt	VVFIN	auf+wölben
sich	PRF	er|es|sie
zum	APPRART	zum
Gipfel	NN	Gipfel
auf	PTKVZ	auf
.	$.	.
<s lang="de" n="13-169">
Im	APPRART	im
Schutz	NN	Schutz
eines	ART	ein
vorspringenden	ADJA	vorspringend
Felshöckers	NN	Felshöcker
heisse	VVFIN	heissen
ich	PPER	ich
den	ART	d
Gefährten	NN	Gefährte
warten	VVINF	warten
.	$.	.
<s lang="de" n="13-170">
Ein	ART	eine
Franzose	NN	Franzose
ist	VAFIN	sein
mir	PPER	ich
voraus	PTKVZ	voraus
.	$.	.
<s lang="de" n="13-171">
Tritt	NN	Tritt
keuchend	ADJD	keuchend
die	ART	d
Spur	NN	Spur
.	$.	.
<s lang="de" n="13-172">
Ich	PPER	ich
folge	VVFIN	folgen
dichtauf	ADV	dichtauf
.	$.	.
<s lang="de" n="13-173">
Der	ART	d
Sturm	NN	Sturm
wird	VAFIN	werden
wieder	ADV	wieder
wach	ADJD	wach
und	KON	und
singt	VVFIN	singen
sein	PPOSAT	sein
brausendes	ADJA	brausend
Lied	NN	Lied
.	$.	.
<s lang="de" n="13-174">
Plötzlich	ADJD	plötzlich
ein	ART	ein
gellender	ADJA	gellend
Schrei	NN	Schrei
von	NE	von
oben	ADV	oben
:	$.	:
«	$(	«
Attention	NN	Attention
!	$.	!
<s lang="de" n="13-175">
...	$.	...
<s lang="de" n="13-176">
Avalanche	NN	unk
!	$.	!
<s lang="de" n="13-177">
...	$.	...
<s lang="de" n="13-178">
Ich	PPER	ich
werfe	VVFIN	werfen
den	ART	d
Kopf	NN	Kopf
in	APPR	in
den	ART	d
Nacken	NN	Nacken
:	$.	:
<s lang="de" n="13-179">
Der	ART	d
Franzose	NN	Franzose
hat	VAFIN	haben
ein	ART	ein
Schneebrett	NN	Schneebrett
losgetreten	VVPP	lostreten
.	$.	.
<s lang="de" n="13-180">
In	APPR	in
Breite	NN	Breite
des	ART	d
ganzen	ADJA	ganz
Gipfelhangs	NN	Gipfelhang
reisst	VVFIN	reissen
es	PPER	es
ab	PTKVZ	ab
.	$.	.
<s lang="de" n="13-181">
Ich	PPER	ich
sehe	VVFIN	sehen
die	ART	d
weissen	ADJA	weiss
Massen	NN	Masse
auf	APPR	auf
mich	PRF	ich
zufluten	VVINF	zufluten
und	KON	und
werfe	VVFIN	entgegen+werfen
mich	PRF	ich
mit	APPR	mit
der	ART	d
Brust	NN	Brust
dem	ART	d
Anprall	NN	Anprall
entgegen	PTKVZ	entgegen
.	$.	.
<s lang="de" n="13-182">
Aber	KON	aber
alle	PIAT	alle
Menschenskraft	NN	unk
ist	VAFIN	sein
hier	ADV	hier
ohne	APPR	ohne
Macht	NN	Macht
.	$.	.
<s lang="de" n="13-183">
Ich	PPER	ich
werde	VAFIN	werden
weggetrieben	VVPP	wegtreiben
,	$,	,
ohne	KOUI	ohne
mich	PRF	ich
wehren	VVINF	wehren
zu	PTKZU	zu
können	VMINF	können
.	$.	.
<s lang="de" n="13-184">
Werde	VAFIN	werden
nach	ADV	nach
unten	ADV	unten
gerissen	VVPP	reissen
.	$.	.
<s lang="de" n="13-185">
In	APPR	in
mir	PPER	ich
ein	ART	ein
grosses	ADJA	gross
Staunen	NN	Staunen
,	$,	,
eine	ART	ein
eigenartig	ADJD	eigenartig
grimmige	ADJA	grimmig
Spannung	NN	Spannung
:	$.	:
<s lang="de" n="13-186">
Wie	KOKOM	wie
geht	VVFIN	aus+gehen
das	PDS	d
aus	PTKVZ	aus
<s lang="de" n="13-187">
Mit	APPR	mit
meterdicken	ADJA	meterdick
Schollen	NN	Scholle
staut	VVFIN	stauen
sich	PRF	er|es|sie
die	ART	d
Lawine	NN	Lawine
auf	APPR	auf
dem	ART	d
flachen	ADJA	flach
Grat	NN	Grat
.	$.	.
<s lang="de" n="13-188">
Gleitet	VVFIN	gleiten
nicht	PTKNEG	nicht
in	APPR	in
die	ART	d
tiefen	ADJA	tief
Gründe	NN	Grund
zur	APPRART	zur
Rechten	NN	Recht|Rechte
und	KON	und
zur	APPRART	zur
Linken	NN	Linke
.	$.	.
<s lang="de" n="13-189">
Ich	PPER	ich
befreie	VVFIN	befreien
mich	PRF	ich
selbst	ADV	selbst
aus	APPR	aus
den	ART	d
kalten	ADJA	kalt
Armen	NN	Arm|Arme
des	ART	d
weissen	ADJA	weiss
Todes	NN	Tod
.	$.	.
<s lang="de" n="13-190">
Merkwürdig	ADJD	merkwürdig
,	$,	,
ich	PPER	ich
bin	VAFIN	sein
ganz	ADV	ganz
ruhig	ADJD	ruhig
.	$.	.
<s lang="de" n="13-191">
Kein	PIAT	kein
aufwühlender	ADJA	aufwühlender
Schreck	NE	Schreck
,	$,	,
kein	PIAT	kein
Nachhall	NN	Nachhall
von	APPR	von
Todesangst	NN	Todesangst
.	$.	.
<s lang="de" n="13-192">
Nur	ADV	nur
die	ART	d
Beine	NN	Bein
zittern	VVINF	zittern
noch	KON	noch
vom	APPRART	vom
zermalmenden	ADJA	zermalmend
Druck	NN	Druck
des	ART	d
Schnees	NN	Schnee
.	$.	.
<s lang="de" n="13-193">
Aber	KON	aber
Herz	NN	Herz
,	$,	,
Augen	NN	Auge
und	KON	und
Mund	NN	Mund
lachen	VVFIN	lachen
über	APPR	über
das	ART	d
glücklich	ADJD	glücklich
bestandene	ADJA	bestanden
Abenteuer	NN	Abenteuer
.	$.	.
<s lang="de" n="13-194">
Für	APPR	für
den	ART	d
Bergsteiger	NN	Bergsteiger
hat	VAFIN	haben
der	ART	d
Tod	NN	Tod
keine	PIAT	kein
Schrecken	NN	Schrecken
.	$.	.
<s lang="de" n="13-195">
Er	PPER	er
ist	VAFIN	sein
sein	PPOSAT	sein
ständiger	ADJA	ständig
,	$,	,
finsterer	ADJA	finster
Kamerad	NN	Kamerad
.	$.	.
<s lang="de" n="13-196">
Ohne	APPR	ohne
Todesahnung	NN	Todesahnung
kein	PIAT	kein
Lebensbejahen	NN	Lebensbejahen
.	$.	.
<s lang="de" n="13-197">
Ohne	APPR	ohne
den	ART	d
kalten	ADJA	kalt
Schatten	NN	Schatten
des	ART	d
dunklen	ADJA	dunkel
Endes	NN	Ende
keine	PIAT	kein
jubelnde	ADJA	jubelnd
Freude	NN	Freude
am	APPRART	am
warmen	ADJA	warm
Glück	NN	Glück
der	ART	d
Stunde	NN	Stunde
.	$.	.
<s lang="de" n="13-198">
Inmitten	ADV	inmitten
der	ART	d
glatten	ADJA	glatt
Lawinenbahn	NN	Lawinenbahn
steige	VVFIN	hinauf+steigen
ich	PPER	ich
zum	APPRART	zum
Gipfel	NN	Gipfel
hinauf	PTKVZ	hinauf
.	$.	.
<s lang="de" n="13-199">
Um	APPR	um
1	CARD	@card@
Uhr	NN	Uhr
drücken	VVFIN	drücken
wir	PPER	wir
uns	PRF	wir
am	APPRART	am
Signal	NN	Signal
die	ART	d
Hände	NN	Hand
.	$.	.
<s lang="de" n="13-200">
Geisterhaft	NN	Geisterhaft
strudeln	VVFIN	strudeln
weisse	ADJA	weiss
Wolken	NN	Wolke
um	APPR	um
die	ART	d
Gipfelwächte	NN	unk
.	$.	.
<s lang="de" n="13-201">
Die	ART	d
Sonnenscheibe	NN	Sonnenscheibe
ist	VAFIN	sein
blass	ADJD	blass
und	KON	und
fern	ADJD	fern
.	$.	.
<s lang="de" n="13-202">
Zwei	CARD	zwei
Deutsche	NN	Deutsche
nur	ADV	nur
sind	VAFIN	sein
wir	PPER	wir
auf	APPR	auf
der	ART	d
höchsten	ADJA	hoch
Spitze	NN	Spitze
;	$.	;
<s lang="de" n="13-203">
zwei	CARD	zwei
Deutsche	NN	Deutsche
,	$,	,
ein	ART	ein
Schweizer	NN	Schweizer
,	$,	,
vier	CARD	vier
Franzosen	NN	Franzose
.	$.	.
<s lang="de" n="13-204">
Der	ART	d
grosse	ADJA	gross
Trupp	NN	Trupp
verzichtet	VVFIN	verzichten
auf	APPR	auf
das	ART	d
letzte	ADJA	letzt
Ziel	NN	Ziel
.	$.	.
<s lang="de" n="13-205">
Die	ART	d
eisige	ADJA	eisig
Stille	NN	Stille
,	$,	,
die	PRELS	d
weltfremde	ADJA	weltfremd
Ferne	NN	Ferne
des	ART	d
Gipfels	NN	Gipfel
vermag	VVFIN	vermag
den	PDS	d
vielen	PIS	viel
,	$,	,
allzuvielen	VVFIN	unk
nichts	PIS	nichts
zu	ADV	zu
sagen	VVINF	sagen
.	$.	.
<s lang="de" n="13-206">
Wir	PPER	wir
wenigen	PIAT	wenig
aber	ADV	aber
gehören	VVFIN	zusammen+gehören
zusammen	PTKVZ	zusammen
!	$.	!
<s lang="de" n="13-207">
Das	ART	d
Glück	NN	Glück
des	ART	d
Sieges	NN	Sieg
verdoppelt	VVFIN	verdoppeln
sich	PRF	er|es|sie
im	APPRART	im
Glück	NN	Glück
der	ART	d
Gemeinschaft	NN	Gemeinschaft
.	$.	.
<s lang="de" n="13-208">
Ein	ART	eine
wiegendes	ADJA	wiegend
Taumeln	NN	Taumeln
von	APPR	von
Mulde	NN	Mulde
zu	APPR	zu
Mulde	NN	Mulde
;	$.	;
ein	ART	ein
hemmungsloses	ADJA	hemmungslos
Gleiten	NN	Gleiten
über	APPR	über
leuchtende	ADJA	leuchtend
Hänge	NN	Hang
:	$.	:
<s lang="de" n="13-209">
die	ART	d
Abfahrt	NN	Abfahrt
.	$.	.
<s lang="de" n="13-210">
Am	APPRART	am
Rotegg	NE	unk
liegen	VVFIN	liegen
wir	PPER	wir
zu	PTKA	zu
kurzer	ADJA	kurz
Rast	NN	Rast
in	APPR	in
der	ART	d
heissen	ADJA	heiss
Sonne	NN	Sonne
.	$.	.
<s lang="de" n="13-211">
Dann	ADV	dann
stossen	VVFIN	stossen
wir	PPER	wir
in	APPR	in
den	ART	d
eklen	ADJA	unk
Nebel	NN	Nebel
,	$,	,
der	PRELS	d
im	APPRART	im
Couloir	NN	Couloir
aufwärts	ADV	aufwärts
treibt	VVFIN	treiben
.	$.	.
<s lang="de" n="13-212">
Vorsichtiges	ADJA	vorsichtig
Tasten	NN	Taste|Tasten
von	APPR	von
Hang	NN	Hang
zu	APPR	zu
Hang	NN	Hang
.	$.	.
<s lang="de" n="13-213">
Rufe	NN	Ruf
.	$.	.
<s lang="de" n="13-214">
Schemenhafte	ADJA	schemenhaft
Gestalten	NN	Gestalt
.	$.	.
<s lang="de" n="13-215">
Ein	ART	eine
drohend	ADJD	drohend
sich	PRF	er|es|sie
aufreckender	ADJA	aufreckend
Felsturm	NN	Felsturm
.	$.	.
<s lang="de" n="13-216">
Nebel	NN	Nebel
,	$,	,
Nebel	NN	Nebel
.	$.	.
<s lang="de" n="13-246">
Phol.	ADJA	unk
Dr.	NN	Doktor
Gg-	TRUNC	Gg-
Henning	NE	Henning
<s lang="de" n="13-247">
Titlis	NE	Titlis
vom	APPRART	vom
Rotsandnollen	NE	Rotsandnollen
<s lang="de" n="13-248">
Incavp-Tiefdruck	NN	unk
Brunner	NE	Brunner
&	KON	&amp;
Cie.	NN	Compagnie
A.G.	NE	A.G.
Zürich	NE	Zürich
<s lang="de" n="13-249">
Phot.	NN	Photograph|Photographie
Dr.	NN	Doktor
Gg	NE	unk
.	$.	.
<s lang="de" n="13-250">
Henning	NE	Henning
<s lang="de" n="13-251">
Titliskette	NE	Titliskette
von	APPR	von
Melchsee-Frutt	NE	Melchsee-Frutt
<s lang="de" n="13-252">
Phot.	NN	Photograph|Photographie
Or	VVFIN	unk
.	$.	.
<s lang="de" n="13-253">
Gg	NE	unk
.	$.	.
<s lang="de" n="13-254">
Henning	NE	Henning
<s lang="de" n="13-255">
Titlis-Gipfel	NN	unk
<s lang="de" n="13-256">
Incavo-Tiefdruck	NN	unk
Brunner	NE	Brunner
&	KON	&amp;
Cie.	NN	Compagnie
A.G.	NE	A.G.
Zürich	NE	Zürich
<s lang="de" n="13-217">
Am	APPRART	am
Laubersgrat	NE	Laubersgrat
entrinnen	VVFIN	entrinnen
wir	PPER	wir
den	ART	d
leidigen	ADJA	leidig
Wolken	NN	Wolke
.	$.	.
<s lang="de" n="13-218">
Die	ART	d
Schlussfahrt	NN	Schlussfahrt
über	APPR	über
die	ART	d
Steilhänge	NN	Steilhang
zum	APPRART	zum
Hotel	NN	Hotel
hinab	ADV	hinab
ist	VAFIN	sein
schwer	ADJD	schwer
.	$.	.
<s lang="de" n="13-219">
Um	APPR	um
4	CARD	@card@
streifen	VVFIN	streifen
wir	PPER	wir
die	ART	d
Riemen	NN	Riemen
der	ART	d
Bindung	NN	Bindung
von	APPR	von
den	ART	d
Füssen	NN	Fuss
und	KON	und
tappen	VVFIN	tappen
mit	APPR	mit
schweren	ADJA	schwer
Schritten	NN	Schritt
ins	APPRART	ins
Haus	NN	Haus
.	$.	.
<s lang="de" n="13-220">
Aus	APPR	aus
unsren	ADJA	unk
Augen	NN	Auge
strahlt	VVFIN	strahlen
der	ART	d
Firnenglanz	NN	Firnenglanz
.	$.	.
<s lang="de" n="13-221">
Der	ART	d
Abend	NN	Abend
schüttet	VVFIN	schütten
volle	ADJA	voll
Sonne	NN	Sonne
in	APPR	in
die	ART	d
Berge	NN	Berg
.	$.	.
<s lang="de" n="13-222">
Ich	PPER	ich
stehe	VVFIN	stehen
und	KON	und
schaue	VVFIN	hinauf+schauen
hinauf	PTKVZ	hinauf
und	KON	und
zurück	ADV	zurück
.	$.	.
<s lang="de" n="13-223">
Die	ART	d
feinen	ADJA	fein
,	$,	,
blauen	ADJA	blau
Adern	NN	Ader
unserer	PPOSAT	unser
Spur	NN	Spur
leiten	VVFIN	leiten
empor	ADV	empor
in	APPR	in
den	ART	d
grossen	ADJA	gross
,	$,	,
weissen	ADJA	weiss
Garten	NN	Garten
,	$,	,
der	PRELS	d
von	APPR	von
den	ART	d
Blüten	NN	Blüte
ewigen	ADJA	ewig
Schnees	NN	Schnee
überquillt	VVFIN	überquellen
.	$.	.
<s lang="de" n="13-224">
Sonne	NN	Sonne
am	APPRART	am
letzten	ADJA	letzt
Tag	NN	Tag
.	$.	.
<s lang="de" n="13-225">
Hinauf	ADV	hinauf
zum	APPRART	zum
Bitzistock	NE	Bitzistock
,	$,	,
lächerlich	ADJD	lächerlich
leicht	ADJD	leicht
heute	ADV	heute
.	$.	.
<s lang="de" n="13-226">
Am	APPRART	am
Gipfel	NN	Gipfel
eine	ART	ein
Stunde	NN	Stunde
innerlicher	ADJA	innerlich
Abschiedsfeier	NN	Abschiedsfeier
.	$.	.
<s lang="de" n="13-227">
Heisse	ADJA	heiss
Blicke	NN	Blick
zum	APPRART	zum
Firndom	NN	Firndom
des	ART	d
Titlis	NE	Titlis
hinauf	PTKVZ	hinauf
.	$.	.
<s lang="de" n="13-228">
Musik	NN	Musik
der	ART	d
Lawinen	NN	Lawine
und	KON	und
des	ART	d
grossen	ADJA	gross
Schweigens	NN	Schweigen
.	$.	.
<s lang="de" n="13-229">
Aufziehende	ADJA	aufziehend
Föhnwolken	NN	Föhnwolke
.	$.	.
<s lang="de" n="13-230">
Erhabene	ADJA	erhaben
Andacht	NN	Andacht
.	$.	.
<s lang="de" n="13-231">
Fahrt	NN	Fahrt
in	APPR	in
den	ART	d
Frühling	NN	Frühling
hinunter	PTKVZ	hinunter
.	$.	.
<s lang="de" n="13-232">
Durch	APPR	durch
zischenden	ADJA	zischend
Firn	NN	Firn
brausen	VVFIN	brausen
wir	PPER	wir
dem	ART	d
Tal	NN	Tal
entgegen	PTKVZ	entgegen
.	$.	.
<s lang="de" n="13-233">
Wald	NN	Wald
nimmt	VVFIN	auf+nehmen
uns	PRF	wir
auf	PTKVZ	auf
;	$.	;
<s lang="de" n="13-234">
eine	ART	ein
schmale	ADJA	schmal
Schneise	NN	Schneise
,	$,	,
die	PRELS	d
in	APPR	in
die	ART	d
Matten	NN	Matte
der	ART	d
Unteren	ADJA	unter
Trübsee-Alp	NN	Trübsee-Alp
ausläuft	VVFIN	auslaufen
.	$.	.
<s lang="de" n="13-235">
Die	ART	d
glänzende	ADJA	glänzend
Kuppe	NN	Kuppe
des	ART	d
Titlis	NE	Titlis
,	$,	,
hochgewölbt	VVPP	hochwölben
über	APPR	über
Wald	NN	Wald
,	$,	,
Felsen	NN	Felsen
und	KON	und
Eis	NN	Eis
,	$,	,
ist	VAFIN	sein
fern	ADJD	fern
wie	KON	wie
einst	ADV	einst
im	APPRART	im
Traum	NN	Traum
.	$.	.
<s lang="de" n="13-236">
Letzter	ADJA	letzt
Schwung	NN	Schwung
bei	APPR	bei
erstem	ADJA	erst
Wiesengrün	NN	Wiesengrün
.	$.	.
<s lang="de" n="13-237">
Tropfende	ADJA	tropfend
Dächer	NN	Dach
.	$.	.
<s lang="de" n="13-238">
Sonne	NN	Sonne
,	$,	,
heisse	ADJA	heiss
Sonne	NN	Sonne
.	$.	.
<s lang="de" n="13-239">
Glockenläuten	NN	Glockenläuten
.	$.	.
<s lang="de" n="13-240">
Feiertag	NN	Feiertag
.	$.	.
<s lang="de" n="13-241">
Frohe	ADJA	froh
Menschen	NN	Mensch
.	$.	.
<s lang="de" n="13-242">
Blumen	NN	Blume
.	$.	.
<s lang="de" n="13-243">
Jugend	NN	Jugend
.	$.	.
<s lang="de" n="13-244">
Leben	NN	Leben
.	$.	.
<s lang="de" n="13-245">
Frühling	NN	Frühling
1	CARD	@card@
Frühling	NN	Frühling
!	$.	!
<article n="14">
<s lang="de" n="14-1">
Beiträge	NN	Beitrag
zur	APPRART	zur
Geographie	NN	Geographie
der	ART	d
Alpsiedlungen	NN	Alpsiedlunge
in	APPR	in
Uri	NE	Uri
.	$.	.
<s lang="de" n="14-2">
Von	APPR	von
Alfred	NE	Alfred
Bühler	NE	Bühler
.	$.	.
<s lang="de" n="14-3">
Die	ART	d
Alpregionen	NN	Alpregion
des	ART	d
Kantons	NN	Kanton
Uri	NE	Uri
weisen	VVFIN	auf+weisen
in	APPR	in
ihrem	PPOSAT	ihr
verhältnismässig	ADJD	verhältnismässig
kleinen	ADJA	klein
Siedlungsraum	NN	Siedlungsraum
sehr	ADV	sehr
mannigfache	ADJA	mannigfach
,	$,	,
voneinander	ADV	voneinander
stark	ADJD	stark
abweichende	ADJA	abweichend
Siedlungstypen	NN	Siedlungstyp
auf	PTKVZ	auf
,	$,	,
die	PRELS	d
sich	PRF	er|es|sie
sowohl	KON	sowohl
nach	APPR	nach
Lage	NN	Lage
und	KON	und
Grosse	NN	Grosse
als	KOKOM	als
auch	ADV	auch
nach	APPR	nach
Form	NN	Form
und	KON	und
Benützung	NN	Benützung
voneinander	ADV	voneinander
unterscheiden	VVINF	unterscheiden
.	$.	.
<s lang="de" n="14-4">
Da	ADV	da
zieren	VVINF	zieren
,	$,	,
um	KOUI	um
nur	ADV	nur
einige	PIS	einige
besonders	ADV	besonders
typische	ADJA	typisch
Beispiele	NN	Beispiel
herauszugreifen	VVIZU	herausgreifen
,	$,	,
freundliche	ADJA	freundlich
Alpdörfchen	NN	Alpdörfchen
mit	APPR	mit
Kapelle	NN	Kapelle
und	KON	und
Gasthäusern	NN	Gasthaus
die	ART	d
Alp	NN	Alp
Urnerboden	NE	Urnerboden
,	$,	,
im	APPRART	im
grössten	ADJA	gross
Gegensatz	NN	Gegensatz
zu	APPR	zu
den	ART	d
äusserst	ADV	äusserst
primitiven	ADJA	primitiv
,	$,	,
aus	APPR	aus
einer	ART	ein
einzigen	ADJA	einzig
,	$,	,
armseligen	ADJA	armselig
Sennhütte	NN	Sennhütte
bestehenden	ADJA	bestehend
Siedlungen	NN	Siedlung
des	ART	d
Urner	NN	Urner
Oberlandes	NN	Oberland
,	$,	,
z.B.	ADV	zum_Beispiel
des	ART	d
Meientales	NE	Meiental
;	$.	;
<s lang="de" n="14-5">
da	ADV	da
finden	VVFIN	finden
sich	PRF	er|es|sie
weiter	ADV	weiter
in	APPR	in
nächster	ADJA	nah
Nähe	NN	Nähe
beieinander	ADV	beieinander
warme	ADJA	warm
,	$,	,
anheimelnde	ADJA	anheimelnd
Holzbauten	NN	Holzbau
und	KON	und
kalte	ADJA	kalt
,	$,	,
kahle	ADJA	kahl
Steingemächer	NN	Steingemach
.	$.	.
<s lang="de" n="14-6">
Ohne	APPR	ohne
Zweifel	NN	Zweifel
sind	VAFIN	sein
solche	PIAT	solch
augenfällige	ADJA	augenfällig
Unterschiede	NN	Unterschied
zunächst	ADV	zunächst
einmal	ADV	ein#mal
durch	APPR	durch
natürliche	ADJA	natürlich
Gegebenheiten	NN	Gegebenheit
bedingt	VVFIN	bedingen
.	$.	.
<s lang="de" n="14-7">
Die	ART	d
Bodenbeschaffenheit	NN	Bodenbeschaffenheit
,	$,	,
die	PRELS	d
Bodenformen	NN	Bodenformen
(	$(	(
Terrassen	NN	Terrasse
,	$,	,
Schwemm-	TRUNC	Schwemm+kegel
und	KON	und
Schuttkegel	NN	Schutt#kegel
,	$,	,
Talböden	NN	Talboden
etc.	ADV	et_cetera_(lat)
)	$(	)
,	$,	,
klimatische	ADJA	klimatisch
Verhältnisse	NN	Verhältnis
,	$,	,
die	PRELS	d
Ausbreitung	NN	Ausbreitung
des	ART	d
Waldes	NN	Wald
und	KON	und
die	ART	d
Gefährdungsmomente	NN	Gefährdungsmoment
,	$,	,
wie	PWAV	wie
Lawinen	NN	Lawine
,	$,	,
Steinschlag	NN	Steinschlag
,	$,	,
Rufen	NN	Ruf|Rufen
und	KON	und
Überschwemmungen	NN	Überschwemmung
,	$,	,
die	PRELS	d
alle	PIS	alle
von	APPR	von
Ort	NN	Ort
zu	APPR	zu
Ort	NN	Ort
wechseln	VVINF	wechseln
oder	KON	oder
verschieden	ADJD	verschieden
stark	ADJD	stark
auftreten	VVINF	auftreten
,	$,	,
prägen	VVFIN	aus+prägen
sich	PRF	er|es|sie
darin	PAV	darin
viel	ADV	viel
stärker	ADJD	stark
aus	PTKVZ	aus
als	KON	als
etwa	ADV	etwa
in	APPR	in
einer	ART	ein
Gegend	NN	Gegend
des	ART	d
Jura	NN	Jura
oder	KON	oder
gar	ADV	gar
des	ART	d
Mittellandes	NN	Mittelland
.	$.	.
<s lang="de" n="14-8">
Diese	PDAT	dies
natürlichen	ADJA	natürlich
Faktoren	NN	Faktor
lassen	VVFIN	lassen
sich	PRF	er|es|sie
an	APPR	an
Ort	NN	Ort
und	KON	und
Stelle	NN	Stelle
durch	APPR	durch
